No,TÊN KHÓA HỌC (course name)    ,CHUYÊN NGÀNH (course category),LINK KHÓA HỌC (course link),MÔ TẢ (course description),,
13,DỰNG VÀ BIÊN TẬP PHIM VỚI PREMIERE,Design,https://onlinica.com/courses/course-v1:Onlinica+013+2022_013/about,"Premiere là phần mềm dựng phim sở hữu rất nhiều ưu điểm với những tính năng vượt trội và vô cùng mạnh mẽ. Nếu bạn là người quan tâm đến dựng và biên tập phim, cũng như muốn upskill về biên dựng thì không thể bỏ qua khóa học ""Dựng Và Biên Tập Phim Với Premiere"". Đến với khóa học bạn sẽ được tìm hiểu về phần mềm Premiere cũng như làm quen với phần mềm dựng phim Premiere. Hãy nhanh tay đăng ký khóa học ngay tại Onlinica để nhận được những kiến thức thú vị nhất nhé!",,
14,NGHỆ THUẬT SỐNG: TỈNH THỨC CÙNG MINDFULNESS,Soft Skills,https://onlinica.com/courses/course-v1:Onlinica+014+2022_014/about,"Là một phương pháp không còn quá xa lạ trong tâm lí học, Tỉnh thức Mindfulness giúp giảm căng thẳng và chữa lành tâm hồn hiệu quả. Luyện tập mindfulness là chúng ta đang luyện tập khả năng tập trung để sống trọn vẹn với từng khoảnh khắc hiện tại. Để có cái nhìn sâu sắc hơn về vẻ đẹp tỉnh thức, mời bạn tham gia khóa học ''Nghệ thuật sống: Tỉnh thức cùng Mindfulness - Phần 01'' của Onlinica và hòa vào thế giới riêng của bạn.",,
15,TIÊN PHONG TRONG THƯƠNG MẠI ĐIỆN TỬ (E-COMMERCE LEADERS) - PHẦN 01,Digital Marketing,https://onlinica.com/courses/course-v1:Onlinica+017+2022_017/about,"Thương mại điện tử (E-Commerce) đang là một trong những lĩnh vực đang hot nhất hiện nay. Vậy thương mại điện tử là gì, vai trò của Thương mại điện tử đối với đời sống ngày nay như thế nào? Cùng theo dõi khóa học tại Onlinica để có cái nhìn tổng quan về lĩnh vực đầy mới mẻ và giàu tiềm năng này nhé!",,
16,TIÊN PHONG TRONG THƯƠNG MẠI ĐIỆN TỬ (E-COMMERCE LEADERS) - PHẦN 02,Digital Marketing,https://onlinica.com/courses/course-v1:Onlinica+037+2022_037/about,"Nắm được những chiến lược đúng đắn sẽ giúp cho bạn tiếp cận khách hàng một cách dễ dàng hơn. Để biết được những hướng đi hợp lý và các nguyên tắc trong lĩnh vực Thương mại điện tử, hãy đến với khóa học này của Onlinica bạn nhé!",,
17,PHƯƠNG PHÁP BƯỚC RA KHỎI VÙNG AN TOÀN & BỨT PHÁ,Soft Skills,https://onlinica.com/courses/course-v1:Onlinica+018+2022_018/about,Vùng an toàn là gì? Làm sao để có thể bước ra khỏi vùng an toàn? Đây là những thắc mắc của nhiều bạn trẻ hiện nay. Và nếu bạn cũng đang mắc kẹt trong vùng an toàn này mà chưa biết cách thoát ra khỏi đó để tìm kiếm những cơ hội mới thì còn chần chờ gì mà không đến ngay với khóa học '' Phương pháp bước ra khỏi vùng an toàn & bứt phá '' tại Onlinica!,,
18,PHƯƠNG PHÁP GIẢI TỎA CĂNG THẲNG TRƯỚC KỲ THI THPT QUỐC GIA ,Soft Skills,https://onlinica.com/courses/course-v1:Onlinica+019+2022_019/about,"Bất kỳ bạn học sinh nào khi đối mặt với Kỳ thi THPT Quốc gia đều có nhiều lo âu, căng thẳng và những nỗi sợ tâm lý vô hình. Để có thể tự tin vượt qua ""cơn sóng"" lớn sắp tới này, Onlinica mang đến cho bạn khóa học giúp bạn hiểu rằng những áp lực này có thể được giải tỏa bằng nhiều cách khác nhau.",,
19,KỸ NĂNG THIẾT LẬP MỤC TIÊU CUỘC ĐỜI,Soft Skills,https://onlinica.com/courses/course-v1:Onlinica+021+2022_021/about,"Cuộc sống sẽ trở nên có ý nghĩa khi bạn đặt ra mục tiêu và giới hạn cho bản thân. Thiết lập mục tiêu cho mình cũng chính là công việc đóng vai trò quan trọng góp phần tạo nên thành công. Nói đơn giản nhưng không phải ai cũng biết cách thiết lập mục tiêu này. Tham gia khóa học ""Kỹ năng Thiết lập mục tiêu cuộc đời"" cùng Onlinica để có lời giải đáp chính xác.",,
20,KỸ NĂNG ĐỊNH VỊ VÀ PHÁT TRIỂN BẢN THÂN,Soft Skills,https://onlinica.com/courses/course-v1:Onlinica+023+2022_023/about,"Làm chủ cuộc sống là mong ước của nhiều người hiện đại. Tuy nhiên, cuộc sống hiện đại và không ngừng phát triển kéo theo thông tin cũng ngày càng nhiều và hỗn độn khiến cho việc nhận diện và thấu hiểu bản thân càng trở nên khó khăn. Nào, hãy cùng Onlinica tham gia khóa học ''Kỹ năng Định vị & Phát triển bản thân ' để không bỏ lỡ điều gì trong hành trình tìm hiểu và phát triển bản thân bạn nhé.",,
21,PHƯƠNG PHÁP TĂNG KHẢ NĂNG GHI NHỚ,Soft Skills,https://onlinica.com/courses/course-v1:Onlinica+024+2022_024/about#shortDes,"Có thể bạn chưa biết, hàng ngày, não bộ của chúng ta mất đi hàng nghìn tế bào và đến lúc 50 tuổi, con số này bắt đầu gia tăng và cùng với đó là sự suy giảm của nhận thức, khả năng ghi nhớ. Việc giữ cho não bộ “bận rộn” bằng các phương pháp luyện tập đúng cách sẽ giúp tăng khả năng ghi nhớ hiệu quả. Tham gia khóa học ''Phương pháp tăng khả năng Ghi Nhớ'' tại Onlinica sẽ giúp bạn hiểu rõ các phương pháp đó là gì.",,
22,NHẬP MÔN NGÀNH LẬP TRÌNH WEB  FULL-STACK ,Lập trình,https://onlinica.com/courses/course-v1:Onlinica+036+2022_036/about#shortDes,"Lập trình Web là ngành học xu hướng hiện nay, vì thế mà có rất nhiều bạn muốn theo đuổi và tìm hiểu về ngành học này. Tuy nhiên đây là một lĩnh vực có nhiều cạnh tranh và thách thức mới. Chính vì thế tại Onlinica ngày hôm nay, sẽ giúp bạn định hướng đến với ngành lập trình Web Full-stack. Vẽ ra lộ trình thăng tiến sau khóa học, đề cập đến yếu tố cần thiết để bạn có thể theo đuổi ngành học. Cùng tham gia vào khóa học ''Nhập môn ngành lập trình Web Full-stack'' tại Onlinica cùng cô Cẩm Thi với nhiều năm kinh nghiệm trong ngành lập trình nhé!",,
23,SÁNG TẠO VÀ SẢN XUẤT PHIM ANIMATION,Design,https://onlinica.com/courses/course-v1:Onlinica+039+2022-039/about#shortDes,"Bạn đam mê phim hoạt hình và ước mơ ngày nào đó sẽ có thể thực hiện một bộ Animation của riêng mình? Hãy hiện thực hóa điều đó cùng Onlinica! Tham gia khóa học để cùng lắng nghe những chia sẻ từ bộ đôi đạo diễn của dự án phim Animation ""Việt Sử Kiêu Hùng"". Những chia sẻ, kinh nghiệm thực tế khi thực hiện bộ phim ""Bình Ngô Đại Chiến"" sẽ phần nào giúp bạn hiểu hơn quy trình làm phim và truyền cảm hứng cho ước mơ tạo nên một bộ phim Animation của chính bạn.",,
24,CÁCH TRỞ THÀNH MỘT NHÀ VĂN,Personal Development,https://onlinica.com/courses/course-v1:Onlinica+043+2022_043/about#shortDes,"Bạn thích viết lách nhưng không biết bắt đầu từ đâu? Bạn muốn trở thành người viết chuyên nghiệp nhưng không biết làm sao để hoàn thành tác phẩm của mình? Đừng lo lắng, khóa học ''Cách Trở Thành Một Nhà Văn'' của Onlinica sẽ giải đáp hết những thắc mắc trong bạn, giúp bạn thực hiện ước mơ trở thành nhà văn chuyên nghiệp ngay từ bây giờ.",,
25,THIẾT KẾ GAME CHUYÊN NGHIỆP VỚI UNITY,Lập trình,https://onlinica.com/courses/course-v1:Onlinica+045+2022_045/about#shortDes,"Thiết kế game trên Unity, liệu sẽ dễ hay khó? Nếu bạn đang có băn khoăn như vậy và không biết sẽ phải bắt đầu như thế nào thì hãy để khóa học ""Thiết Kế Game chuyên nghiệp với Unity"" giải đáp những thắc mắc cho bạn. Đồng hành cùng bạn sẽ là Chuyên gia trong ngành Game Development- Mr. Dương Hoàng Thanh, chuyên gia sẽ hỗ trợ bạn khởi tạo một Game Maze trên phần mềm Unity. Không những vậy, bạn còn nắm được các kiến thức về Unity Hub hay cách làm game theo góc nhìn thứ ba. Vậy nên hãy nhanh tay đăng ký khóa học tại Onlinica bạn nhé!",,
26,BẮT ĐẦU VỚI SKETCHBOOK - PHẦN 01,Design,https://onlinica.com/courses/course-v1:Onlinica+051+2022_051/about,"Bạn có hứng thú và đam mê với bộ môn Sketchbook, nhưng bối rối khi không biết bắt đầu từ đâu? Và tự đặt câu hỏi liệu khả năng của mình có phù hợp với Sketchbook hay không? Để giúp bạn phần nào ""gỡ rối"" được những khúc mắc trên, hãy tham gia ngay khóa học ""Bắt đầu với Sketchbook - Phần 01"" tại Onlinica ngay nhé!",,
27,BẮT ĐẦU VỚI SKETCHBOOK - PHẦN 02,Design,https://onlinica.com/courses/course-v1:Onlinica+053+2022_053/about,"Sau khi nắm được những thông tin và khái niệm cơ bản liên quan đến Sketchbook ở phẩn 1, hãy cùng tìm hiểu sâu hơn về bộ môn này bạn nhé. Trong khóa học này bạn sẽ được tìm hiểu về các bước thức hành cơ bản khi phác thảo và những lưu ý khi phác thảo.",,
28,PHƯƠNG PHÁP XÂY DỰNG KẾ HOẠCH QUẢNG CÁO BÁN HÀNG - PHẦN 01,Digital Marketing,https://onlinica.com/courses/course-v1:Onlinica+052+2022_052/about#shortDes,"Để sản phẩm của bạn tiếp cận được với khách hàng một cách rộng rãi và đúng đối tượng nhất, bạn cần xây dựng một kế hoạch quảng cáo phù hợp. Bên cạnh đó cần tối ưu chiến lượng quảng cáo của bạn, làm sao cho tiết kiệm chi phí nhưng hiệu quả mang lại phải tốt nhất. Hãy cùng tìm hiểu những điều đó cùng với một Chuyên gia ngành Marketing đầy kinh nghiệm trong khóa học này nhé!",,
29,LÝ THUYẾT NGHỆ THUẬT VỀ CÁCH PHỐI CẢNH - PHẦN 01,Design,https://onlinica.com/courses/course-v1:Onlinica+054+2022_054/about,"Phối cảnh là một trong những kiến thức rất quan trọng, đây là kiến thức nền tảng của không chỉ ngành kiến trúc mà còn bao gồm nội thất, tạo hình hội hoạ, ... ''Phối cảnh'' sẽ không còn quá xa lạ với bạn khi tham gia khoá học ''Lý thuyết nghệ thuật về cách phối cảnh - Phần 01''. Hãy cùng Onlinica tìm hiểu và ghi chú lại trong bài giảng nhé!",,
30,LÝ THUYẾT NGHỆ THUẬT VỀ CÁCH PHỐI CẢNH - PHẦN 02,Design,https://onlinica.com/courses/course-v1:Onlinica+055+2022_055/about#shortDes,"Học đi đôi với hành, ở phần 01 của chủ đề, Onlinica đã đề cập đến nội dung lý thuyết về cách phối cảnh. Ở phần này, khóa học sẽ đưa bạn đến gần với nghệ thuật phối cảnh thông qua các bài thực hành vẽ chi tiết. Bài giảng được chính chuyên gia ngành thiết kế giảng dạy đi từ những phần dễ đến khó, những nét vẽ cơ bản đến phức tạp. Hãy cùng đăng ký khoá học ''Lý thuyết nghệ thuật về cách phối cảnh - Phần 02'' của giảng viên Trần Hải Bình tại Onlinica nhé!",,
31,LÀM QUEN VỚI QUẢNG CÁO FACEBOOK (FACEBOOK ADS) - PHẦN 01,Digital Marketing,https://onlinica.com/courses/course-v1:Onlinica+056+2022_056/about#shortDes,"Học cách thiết lập một trang Facebook Ads vô cùng đơn giản trên chính chiếc điện thoại thông minh bạn vẫn thường sử dụng? Nghe qua có vẻ khó tin nhưng bạn hoàn toàn có thể làm được sau khi tham gia khóa học ""Làm quen với Quảng cáo Facebook (Facebook Ads) - Phần 01"". Tại khóa học này bạn có thể nắm được cách khởi tạo một trang, viết nội dung trên trang quảng cáo và tham khảo demo quảng cáo của chính chuyên gia trong ngành. Từ đó, bạn không chỉ hiểu mà còn có thể mở rộng khả năng tự chạy một Facebook Ads của riêng mình. Đăng ký ngay khóa học miễn phí để có thêm nhiều kiến thức hữu ích bạn nhé!",,
32,LÀM QUEN VỚI QUẢNG CÁO FACEBOOK (FACEBOOK ADS) - PHẦN 02,Digital Marketing,https://onlinica.com/courses/course-v1:Onlinica+057+2022_057/about#shortDes,"Ở phần trước chúng ta đã hiểu cơ bản về Facebook Ads, cũng như đã nắm những cách thiết lập một trang quảng cáo trên cả điện thoại thông minh lẫn máy tính. Vậy thì với khóa học ""Làm quen với Quảng cáo Facebook (Facebook Ads) - Phần 02"" chúng ta sẽ tìm hiểu sâu hơn về cách chạy quảng cáo Facebook bằng tài khoản Ad account hay còn gọi là Business Manager- BM account. Không chỉ còn là những giao diện cơ bản mà ở khóa học này chuyên gia sẽ giúp bạn nâng cao giao diện Facebook Ads từ đó dễ dàng hơn trong việc thu hút khách hàng ghé thăm trang của mình. Nhanh tay đăng ký khóa học để có thể giúp kế hoạch kinh doanh, trang quảng cáo của chính bạn phát triển theo mong muốn nhé!",,
33,NỀN TẢNG TRUYỀN THÔNG XÃ HỘI (SOCIAL MEDIA PLAFORMS) - PHẦN 01,Digital Marketing,https://onlinica.com/courses/course-v1:Onlinica+058+2022_058/about#shortDes,"Ngày nay, chúng ta đã không còn quá xa lạ với khái niệm Social Media Platforms. Tuy nhiên làm sao để hiểu rõ và ứng dụng các nền tảng truyền thông xã hội vào kinh doanh nói riêng và đời sống nói chung? Hãy cùng Onlinica đến với khóa học ""Nền tảng truyền thông xã hội (Social Media Platforms) - Phần 01"" để lắng nghe những chia sẻ của Ms. Nguyễn Mỹ Hạnh về các khái niệm cơ bản thường được sử dụng, vai trò cũng như tính ứng dụng của Social Media Platforms dưới góc nhìn chuyên gia nhé!",,
34,NỀN TẢNG TRUYỀN THÔNG XÃ HỘI (SOCIAL MEDIA PLAFORMS) - PHẦN 02,Digital Marketing,https://onlinica.com/courses/course-v1:Onlinica+059+2022_059/about#shortDes,"Facebook, Youtube, Tik Tok, Instagram, Zalo là những nền tảng truyền thông bạn vẫn thường sử dụng hằng ngày cho rất nhiều hoạt động như làm việc, học tập, giải trí. Nhưng bạn đã thật sự hiểu rõ toàn bộ thông tin về các nền tảng truyền thông xã hội này chưa? Hãy cùng Ms. Mỹ Hạnh giảng viên chuyên ngành Digital Marketing phân tích những thông tin về các nền tảng truyền thông, so sánh những điểm giống và khác nhau giữa các trang mạng xã hội, cũng như tiếp thu những kiến thức thú vị xoay quay các nền tảng truyền thông xã hội phổ biến hiện nay. Nhanh tay đăng ký ngay khóa học ""Nền tảng truyền thông xã hội (Social Media Platforms) - Phần 02"" tại Onlinica.",,
35,TỐI ƯU BÁN HÀNG TRÊN TIKTOK SHOP,Digital Marketing,https://onlinica.com/courses/course-v1:Onlinica+260+2023_260/about#shortDes,"Ngày ngày lướt TikTok để giải trí, bạn có biết đây còn một kênh bán hàng hiệu quả? Và nếu như bạn có muốn học cách tối ưu bán hàng trên TikTok Shop, một chức năng mới mẻ và tiên tiến của TikTok hay mong muốn tận dụng lượng người dùng khổng lồ của TikTok để quảng bá sản phẩm và dịch vụ của bạn? Thì chào mừng bạn đã đến với kho tàng Onlinica tại đây đang có những cuốn ""cửu âm chân kinh"" về cách ""Tối ưu bán hàng trên TikTok Shop"". Thông qua khoá học này bạn sẽ được tìm hiểu rõ hơn về TikTok Shop là gì, Mô hình vận hành của TikTok Shop và đặc biệt là các cách tối ưu TikTok Shop. Sau khi học xong khóa học này bạn sẽ nắm được các cách để tối ưu gian hàng của mình trên TikTok Shop, giúp bạn khám phá ra cách để quản lý một gian hàng thành công, tìm ra những khuyết điểm trong cách vận hành của mình và khắc phục được nó. Và để làm được những điều đó chỉ còn cách bạn một bước đăng ký nữa thôi, hãy nhanh tay đăng ký và học cùng Onlinica nhé.",,
36,LÝ THUYẾT NGHỆ THUẬT VỀ TỈ LỆ & GIẢI PHẪU NGƯỜI - PHẦN 01,Design,https://onlinica.com/courses/course-v1:Onlinica+064+2022_064/about,"Cơ thể con người là một trong những cấu trúc động vật phức tạp và kỳ diệu nhất. Thế nên việc gặp khó khăn khi vẽ người là một điều mà đa số những người mới bắt đầu sẽ gặp phải. Đến với khóa khọc này của Onlinica, chúng ta sẽ cùng nhau học về các lý thuyết của tỷ lệ cơ thể người bạn nhé!",,
37,LÝ THUYẾT VỀ MÀU SẮC - PHẦN 01,Design,https://onlinica.com/courses/course-v1:Onlinica+068+2022_068/about#shortDes,"Màu sắc là một phần vô cùng quan trọng trong đời sống của chúng ta, được ứng dụng rộng rãi trong rất nhiều lĩnh vực khác nhau. Để có thể hiểu được ""tiếng nói"" của màu sắc, hãy đến với khóa học ngày này của Onlinica.",,
38,LÝ THUYẾT VỀ MÀU SẮC - PHẦN 02,Design,https://onlinica.com/courses/course-v1:Onlinica+069+2022_069/about#shortDes,"Tiếp nối những kiến thức lý thuyết về màu sắc đã được Ms. Nguyễn Hải Huyền Trang - Giảng viên chuyên ngành thiết kế chia sẻ trong khoá học ""Lý thuyết về màu sắc - Phần 01"", tại khoá học ""Lý thuyết về màu sắc - Phần 02"" chúng ta sẽ cùng tìm hiểu về cách vẽ trên phần mềm Adobe Illustrator với công cụ Mesh Tool. Kiến thức về công cụ này sẽ giúp bạn vẽ được những đối tượng thực tế và đảm bảo chất lượng của file, thích hợp dùng cho in ấn. Còn chần chờ gì mà không đăng kí ngay khoá học '' Lý thuyết về màu sắc - Phần 02'' tại Onlinica.",,
39,GIỚI THIỆU VỀ STORYBOARDING,Design,https://onlinica.com/courses/course-v1:Onlinica+070+2022_070/about#shortDes,"Ngành điện ảnh đang phát triển mạnh mẽ, đặc biệt trong thời đại 4.0 ngày nay, việc sử dụng Storyboard - Vẽ kịch bản trong quá trình sáng tạo để sản xuất phim, TVC, MV, ... là rất cần thiết. Nhằm giúp người xem hình dung được sự kiện, nhân vật, góc máy, background, ... từ đó hiểu được ý tưởng 1 cách sinh động và hiệu quả hơn. Hãy để khoá học ''Giới thiệu về Storyboarding'' với Mr. Nguyễn Tấn Huynh - Chuyên gia ngành lập trình giúp bạn hiểu rõ hơn kiến thức này nhé!",,
40,COMPUTER FUNDAMENTALS - PHẦN 01,Lập trình,https://onlinica.com/courses/course-v1:Onlinica+071+2022_071/about,"Máy tính đóng vai trò then chốt trong lĩnh vực công nghệ thông tin. Vậy, máy tính là gì? có những loại máy tính nào? Bộ xử lý trung tâm là gì? phần mềm, phần cứng có vai trò gì? và làm thế nào để duy trì hiệu suất hoạt động của máy tính? Hãy cùng tìm lời giải đáp cho những câu hỏi trên với khoá học ""Computer Fundamentals - Phần 1"" với giảng viên Nguyễn Trọng Tiến - Chuyên gia ngành lập trình.",,
41,COMPUTER FUNDAMENTALS - PHẦN 02,Lập trình,https://onlinica.com/courses/course-v1:Onlinica+072+2022_072/about#shortDes,"Bạn có biết hệ điều hành là gì không? Làm thế nào để có thể sử dụng các tính năng trên hệ điều hành? Tất cả đều sẽ được giải đáp tại khóa học ''Computer Fundamentals - Phần 02''. Ở khóa học này bạn sẽ bồi dưỡng thêm kiến thức cơ bản về hệ điều hành, đem đến những thông tin hữu ích giúp bạn vận hành thiết bị của mình một cách có quy trình, tối ưu thao tác trên máy tính. Hãy cùng Onlinica tìm hiểu xem hệ điều hành trên máy tính của bạn sẽ được vận hành ra sao nhé!",,
